"","ds","y","yhat","yhat_lower","yhat_upper","cutoff"
"1",2017-05-02,14.77,14.3110597135613,13.599333584958,15.0916157450387,2017-05-01 00:00:00
"2",2017-05-03,15.36,14.229082065962,13.4826955233897,15.0033037280162,2017-05-01 00:00:00
"3",2017-05-04,14.21,14.3544253028772,13.518327373103,15.1006840170155,2017-05-01 00:00:00
"4",2017-05-05,14.1,14.585207117507,13.8464098532985,15.3430148119777,2017-05-01 00:00:00
"5",2017-05-08,14.31,14.6261223867263,13.8800858414727,15.444505231325,2017-05-01 00:00:00
"6",2017-05-09,14.68,14.4667032438483,13.7459586928912,15.1650571533048,2017-05-01 00:00:00
"7",2017-05-10,14.7,14.3859568991747,13.6402202706574,15.0805618283149,2017-05-01 00:00:00
"8",2017-05-11,14.78,14.5068084559089,13.7904877341354,15.2756148655763,2017-05-01 00:00:00
"9",2017-05-12,14.42,14.7279749975839,13.9910765680597,15.468032485853,2017-05-01 00:00:00
"10",2017-05-15,15.47,14.717001760046,13.9879693998302,15.4809551889092,2017-05-01 00:00:00
"11",2017-05-16,14.26,14.5355462581831,13.8865363673244,15.2993688600481,2017-05-01 00:00:00
"12",2017-05-17,14.39,14.4319469502434,13.6681345062726,15.2230911340876,2017-05-01 00:00:00
"13",2017-05-18,15.38,14.5300475605205,13.7984766658191,15.2793992991271,2017-05-01 00:00:00
"14",2017-05-19,16.23,14.7294341917429,13.9783838714198,15.4705123952545,2017-05-01 00:00:00
"15",2017-05-22,17.39,14.6663620631892,13.9156976621168,15.4122518414412,2017-05-01 00:00:00
"16",2017-05-23,18.9,14.4738546607736,13.710927785153,15.1897710949464,2017-05-01 00:00:00
"17",2017-05-24,17.01,14.3629721271359,13.6087999191814,15.0799550694828,2017-05-01 00:00:00
"18",2017-05-25,15.31,14.4577026069076,13.6929546899878,15.2250070880946,2017-05-01 00:00:00
"19",2017-05-26,14.52,14.6576247616515,13.8854892218221,15.3710699365696,2017-05-01 00:00:00
"20",2017-05-31,13.98,14.3424316232759,13.5755532047419,15.0257000904491,2017-05-01 00:00:00
"21",2017-06-01,13.66,14.4535469595971,13.6689422318656,15.1754223833226,2017-05-01 00:00:00
"22",2017-06-02,13.94,14.6703396204097,13.9400961736288,15.4203305964678,2017-05-01 00:00:00
"23",2017-06-05,14.07,14.6763086997318,13.905332077982,15.444486164323,2017-05-01 00:00:00
"24",2017-05-19,16.23,14.9833597039525,14.2915878770055,15.7226927034404,2017-05-18 12:00:00
"25",2017-05-22,17.39,15.1031643325991,14.4131257013817,15.7864186193249,2017-05-18 12:00:00
"26",2017-05-23,18.9,14.9481172388676,14.2708718365534,15.6270559935899,2017-05-18 12:00:00
"27",2017-05-24,17.01,14.9337385508948,14.251944777936,15.6136260532825,2017-05-18 12:00:00
"28",2017-05-25,15.31,15.0478455623567,14.3139219109181,15.706558128851,2017-05-18 12:00:00
"29",2017-05-26,14.52,15.2078363430464,14.4258402670651,15.9097800271971,2017-05-18 12:00:00
"30",2017-05-31,13.98,15.2187239978116,14.5265987450454,15.9116227664303,2017-05-18 12:00:00
"31",2017-06-01,13.66,15.3400699759031,14.652195135679,16.0145521336029,2017-05-18 12:00:00
"32",2017-06-02,13.94,15.5041136592565,14.7739274022943,16.1862511490853,2017-05-18 12:00:00
"33",2017-06-05,14.07,15.6507648257336,14.9461876736045,16.33184814852,2017-05-18 12:00:00
"34",2017-06-06,13.72,15.4939111614067,14.7982312928069,16.2153801075791,2017-05-18 12:00:00
"35",2017-06-07,13.5,15.470911979245,14.7631645136511,16.1417494510399,2017-05-18 12:00:00
"36",2017-06-08,14.27,15.5689536990921,14.8243940034115,16.2375675900712,2017-05-18 12:00:00
"37",2017-06-09,13.39,15.7050030312932,14.9609894070052,16.4008747856034,2017-05-18 12:00:00
"38",2017-06-12,13.5,15.7439700101144,15.067811359154,16.4136429166893,2017-05-18 12:00:00
"39",2017-06-13,13.67,15.5455028525536,14.8935580624562,16.2655892147402,2017-05-18 12:00:00
"40",2017-06-14,13.48,15.4794170967244,14.6937845922297,16.1833788997528,2017-05-18 12:00:00
"41",2017-06-15,13.47,15.5338632771079,14.8074014469367,16.2267932260077,2017-05-18 12:00:00
"42",2017-06-16,12.84,15.6268241259169,14.9496368994106,16.3472072382099,2017-05-18 12:00:00
"43",2017-06-19,12.63,15.5498860026357,14.8657288951503,16.2718726896647,2017-05-18 12:00:00
"44",2017-06-20,13.09,15.3205150343791,14.5942673708099,16.0324486850936,2017-05-18 12:00:00
"45",2017-06-21,12.87,15.2288441638676,14.5120364322505,15.9532126797377,2017-05-18 12:00:00
"46",2017-06-22,12.76,15.2637258939132,14.5743996739458,15.9806183679135,2017-05-18 12:00:00
"47",2017-06-06,13.72,12.565148069315,11.6850826143418,13.5042477503386,2017-06-05 00:00:00
"48",2017-06-07,13.5,11.9307656960475,11.0419377355001,12.792311597344,2017-06-05 00:00:00
"49",2017-06-08,14.27,11.4695414510032,10.6219747234477,12.3261249940572,2017-06-05 00:00:00
"50",2017-06-09,13.39,11.1944289239475,10.3204096373906,12.0199002667001,2017-06-05 00:00:00
"51",2017-06-12,13.5,10.2118244482046,9.37278794981583,11.0716088154622,2017-06-05 00:00:00
"52",2017-06-13,13.67,9.73472290029857,8.7995681609502,10.5889701754857,2017-06-05 00:00:00
"53",2017-06-14,13.48,9.274696814482,8.46794618114222,10.1788149600764,2017-06-05 00:00:00
"54",2017-06-15,13.47,9.03871350180068,8.13705190878282,9.91591965635241,2017-06-05 00:00:00
"55",2017-06-16,12.84,9.03724479549489,8.11370841034809,9.86473130821693,2017-06-05 00:00:00
"56",2017-06-19,12.63,9.12445144294829,8.22729412647753,9.94756020631985,2017-06-05 00:00:00
"57",2017-06-20,13.09,9.06792771853438,8.15584108455315,9.90299368787848,2017-06-05 00:00:00
"58",2017-06-21,12.87,9.04874665807994,8.17220238419863,9.89891073144586,2017-06-05 00:00:00
"59",2017-06-22,12.76,9.2657830410448,8.39396448210572,10.1217525482691,2017-06-05 00:00:00
"60",2017-06-23,14,9.72093324249956,8.84451795813797,10.6352021022647,2017-06-05 00:00:00
"61",2017-06-26,14.76,11.1105229093613,10.2931842947345,11.9421643090064,2017-06-05 00:00:00
"62",2017-06-27,14.88,11.436239982282,10.5803536582673,12.2604364734036,2017-06-05 00:00:00
"63",2017-06-28,15.69,11.7595205618442,10.9475142838928,12.582234114952,2017-06-05 00:00:00
"64",2017-06-29,14.12,12.2718755409266,11.3701217910317,13.1453598183778,2017-06-05 00:00:00
"65",2017-06-30,12.85,12.968724536696,12.1412244834245,13.799328914279,2017-06-05 00:00:00
"66",2017-07-03,12.99,14.7135554682071,13.8565057273143,15.5856551176901,2017-06-05 00:00:00
"67",2017-07-04,11.88,15.0247819064355,14.192979292089,15.9201733414088,2017-06-05 00:00:00
"68",2017-07-05,11.11,15.2658298517852,14.3834271050816,16.1344627194309,2017-06-05 00:00:00
"69",2017-07-06,12.22,15.6296419013916,14.773725841804,16.4946679896735,2017-06-05 00:00:00
"70",2017-07-07,12,16.1145377047426,15.256449128895,16.9706041487863,2017-06-05 00:00:00
"71",2017-07-10,12.38,16.8928065483416,16.0697968769627,17.8190627239745,2017-06-05 00:00:00
"72",2017-06-23,14,13.1569789716471,12.3729755469157,14.0309022362284,2017-06-22 12:00:00
"73",2017-06-26,14.76,13.5156974913851,12.6618402613791,14.428845523057,2017-06-22 12:00:00
"74",2017-06-27,14.88,13.5361098999013,12.6618571313949,14.398699083005,2017-06-22 12:00:00
"75",2017-06-28,15.69,13.4167704597496,12.4416579290673,14.2695302698941,2017-06-22 12:00:00
"76",2017-06-29,14.12,13.496859449304,12.5498479285365,14.3566139856176,2017-06-22 12:00:00
"77",2017-06-30,12.85,13.6430841059197,12.7941675461966,14.5140051203925,2017-06-22 12:00:00
"78",2017-07-03,12.99,13.9011514625552,13.0378765914466,14.7087836508208,2017-06-22 12:00:00
"79",2017-07-04,11.88,13.863138203025,12.9344015478927,14.747689516158,2017-06-22 12:00:00
"80",2017-07-05,11.11,13.6755188044919,12.7599824955853,14.5714795402019,2017-06-22 12:00:00
"81",2017-07-06,12.22,13.6793640424327,12.8245335998513,14.5705710452665,2017-06-22 12:00:00
"82",2017-07-07,12,13.7434358029638,12.910400748557,14.5932862357598,2017-06-22 12:00:00
"83",2017-07-10,12.38,13.7415236140924,12.910326982592,14.6261802628877,2017-06-22 12:00:00
"84",2017-07-11,12.24,13.6197419724835,12.7630178946017,14.5166914878645,2017-06-22 12:00:00
"85",2017-07-12,12.04,13.353354246176,12.5540243194371,14.213245710044,2017-06-22 12:00:00
"86",2017-07-13,11.66,13.2853681341187,12.4637325675687,14.1506737389131,2017-06-22 12:00:00
"87",2017-07-14,11.66,13.2862854564798,12.4204864778715,14.1422108878348,2017-06-22 12:00:00
"88",2017-07-17,12.04,13.1605929675965,12.2639336590079,14.0448430310601,2017-06-22 12:00:00
"89",2017-07-18,12.04,13.0225135027502,12.0784625886357,13.8208672677162,2017-06-22 12:00:00
"90",2017-07-19,12.59,12.7530350388791,11.8614513517221,13.6708892642727,2017-06-22 12:00:00
"91",2017-07-20,12.13,12.6950957489529,11.8749818953121,13.5441656526408,2017-06-22 12:00:00
"92",2017-07-21,11.08,12.7187934425633,11.8230807223095,13.5737645809944,2017-06-22 12:00:00
"93",2017-07-24,11.06,12.7291113062109,11.8671895611791,13.5614005442304,2017-06-22 12:00:00
"94",2017-07-25,12.1,12.6546308899893,11.73977332251,13.4558683593506,2017-06-22 12:00:00
"95",2017-07-26,12.72,12.4551659951174,11.5555901039129,13.3834996455297,2017-06-22 12:00:00
"96",2017-07-27,12.51,12.471772334234,11.5862919911729,13.3360124213043,2017-06-22 12:00:00
"97",2017-07-11,12.24,10.871579710071,9.97158342339038,11.8082186527309,2017-07-10 00:00:00
"98",2017-07-12,12.04,10.4119439748224,9.48907374571304,11.3544181569482,2017-07-10 00:00:00
"99",2017-07-13,11.66,10.1336899148037,9.23041579490108,11.1083428602543,2017-07-10 00:00:00
"100",2017-07-14,11.66,9.94046668799295,9.05053633601195,10.882542157275,2017-07-10 00:00:00
"101",2017-07-17,12.04,9.57066258844697,8.67913559509227,10.4939479588141,2017-07-10 00:00:00
"102",2017-07-18,12.04,9.32977160917397,8.39615160939212,10.2758605235411,2017-07-10 00:00:00
"103",2017-07-19,12.59,9.10578601885281,8.18044351052535,9.99035979839937,2017-07-10 00:00:00
"104",2017-07-20,12.13,9.09555330599468,8.20316697366406,9.98831092818459,2017-07-10 00:00:00
"105",2017-07-21,11.08,9.19780314191344,8.30952804284667,10.0823062781237,2017-07-10 00:00:00
"106",2017-07-24,11.06,9.81924369411041,8.9020977469085,10.6711754922414,2017-07-10 00:00:00
"107",2017-07-25,12.1,9.9211315277665,8.95453836188861,10.8396543309266,2017-07-10 00:00:00
"108",2017-07-26,12.72,10.0340531990365,9.08283154224326,10.9333305963116,2017-07-10 00:00:00
"109",2017-07-27,12.51,10.3475200999971,9.42109489355679,11.2999407976085,2017-07-10 00:00:00
"110",2017-07-28,11.64,10.7531021698029,9.84194874422259,11.6600898813354,2017-07-10 00:00:00
"111",2017-07-31,11.91,12.0970007362215,11.1640707004833,13.0289892474599,2017-07-10 00:00:00
"112",2017-08-01,12.98,12.3586281540182,11.4794509713501,13.270975341413,2017-07-10 00:00:00
