"","ds","y","yhat","yhat_lower","yhat_upper","cutoff"
"1",2017-10-09,13.5,10.1023818103714,9.25778872976883,10.9327758243408,2017-10-08
"2",2017-10-10,13.78,9.57926131293637,8.73533080537524,10.4098683325174,2017-10-08
"3",2017-10-11,13.89,8.90566876686404,8.04908233312212,9.73329794903042,2017-10-08
"4",2017-10-12,13.9,8.34288147977596,7.51224500356329,9.15086266751403,2017-10-08
"5",2017-10-13,14.1,7.79222002870139,6.923912466763,8.58806727074836,2017-10-08
"6",2017-10-16,14,6.32585282541683,5.42536641778643,7.16934960551266,2017-10-08
"7",2017-10-17,14.92,5.87847682418502,5.03051006298175,6.69023028260924,2017-10-08
"8",2017-10-18,15.04,5.34005240883253,4.48273291515798,6.13341592147648,2017-10-08
"9",2017-10-19,14.92,4.97307201231078,4.15835068755939,5.84781138752643,2017-10-08
"10",2017-10-20,13.7,4.6789225104419,3.82719681891758,5.45038228570025,2017-10-08
"11",2017-10-23,13.5,4.32875994009722,3.51306946815279,5.13915311336723,2017-10-08
"12",2017-10-24,14.3,4.35699401453473,3.53925837384599,5.25229421775338,2017-10-08
"13",2017-10-25,13.1,4.33694942508829,3.5067934844802,5.24184649711663,2017-10-08
"14",2017-10-26,14.4,4.52405177133525,3.6779082504135,5.31128809754332,2017-10-08
"15",2017-10-27,13.48,4.81164814474148,3.97508275382596,5.58739316788946,2017-10-08
"16",2017-10-30,13.33,6.28064466216639,5.42965233513211,7.14291907843872,2017-10-08
"17",2017-10-31,13.44,6.90650553510928,6.04452054459338,7.760119131126,2017-10-08
"18",2017-11-01,13.4,7.46231347332032,6.65326847513199,8.29251430503752,2017-10-08
"19",2017-11-02,13.6,8.19306991791469,7.37616946026314,9.07440300185016,2017-10-08
"20",2017-11-03,13.6,8.98200276965127,8.1730672751817,9.86076281268858,2017-10-08
"21",2017-11-06,13.55,11.6088717156781,10.7415104635832,12.4711543639297,2017-10-08
"22",2017-11-07,13.55,12.4789294651231,11.623956469642,13.3057623996046,2017-10-08
"23",2017-11-08,13.55,13.1976611338428,12.3612167506034,14.1157213706367,2017-10-08
"24",2017-11-09,13.49,14.0058237840963,13.1759301503219,14.8713626205651,2017-10-08
"25",2017-11-10,13.43,14.7838897003685,13.8877702665691,15.6378971599195,2017-10-08
"26",2017-11-13,13.45,16.8446729509652,15.9758283631758,17.6918200569079,2017-10-08
"27",2017-11-14,14,17.3549841184217,16.460065102074,18.2302725438292,2017-10-08
"28",2017-11-15,14.03,17.6357829555826,16.794009994651,18.5221736580826,2017-10-08
"29",2017-11-16,13.56,17.9344607134473,17.1034205402094,18.8408126039104,2017-10-08
"30",2017-11-17,13.5,18.1394584696011,17.3470504711542,18.9836676897734,2017-10-08
"31",2017-11-20,13.5,18.195977246592,17.3286972095471,19.0543713450458,2017-10-08
