"predict_nnet","predict_prophet","predict_arma"
2.16688090854414,0.503670822125126,1.00047391266506
1.42546699463291,1.17053276332137,1.02019620666927
1.32849211669687,1.0406847673073,1.07443871047742
1.2946192640315,3.22473695354507,3.21814143526967
1.27429871735643,4.44370930440855,4.48849098812195
2.35207682755771,6.54259704032113,6.69575951701414
2.4479988524167,6.45290664462396,6.73213733915695
2.4720784199742,6.32603130423005,6.75117958587726
3.05139907503403,5.8104801103367,6.00691222991783
3.87232665764778,5.91948668880708,5.89521742029971
4.11684613299642,5.65413680910854,5.40840663590312
4.07023516703024,5.23236239145616,5.14778571673567
3.98254927495161,4.86410577779143,4.96378694919099
3.90215172789468,4.75105335434963,5.10193857714675
4.37458100849771,4.45955518471556,4.98521057109145
4.57288065048303,4.38356858893671,5.13033837794112
4.66396290193951,4.39985167971961,5.35345683610095
4.74485072490953,4.40817842807082,5.54998887405213
4.81720021792895,4.41310377158566,5.72425291408026
5.1102915053722,4.22636909242695,5.60920393741678
5.08297970352918,4.05391293182032,5.50393898505395
5.05814991498107,3.89117330522675,5.40720323692568
4.98325139804175,3.76403717258606,5.3744998343454
4.78821708421257,3.81620757009889,5.50776632225454
4.69545580691678,3.75974096902465,5.50961540242182
4.89459907426459,3.80981325369244,5.39290634933867
4.93479961299831,3.69106493999316,5.2569449105629
4.93299852699366,3.59303933138555,5.17250669589766
5.19493981894189,3.70309014699855,5.18000189421655
5.37351577288318,3.72194917090665,5.1161127973866
5.39089513110393,3.63863991247811,5.00730502973841
5.46125212374234,3.53366494686388,4.85515018009663
5.50137551380834,3.45968921684299,4.73160987923914
5.68898368255526,3.47597890887427,4.73181400704586
5.69536345956015,3.46030796995369,4.64531073608889
5.7013888045092,3.45745016390947,4.56338933406884
5.70708845513669,3.46600891526215,4.48569373714262
5.5729947130831,3.67477176867915,4.59743978715413
5.73166080357029,3.6302545402258,4.5986623907809
5.87341404125383,3.56929757910028,4.59026156743262
5.86105857185393,3.62598574946531,4.53325516662837
5.93866565258644,3.58774581875333,4.46836750216173
6.01560052409301,3.55528657257991,4.40977970755734
5.88926276885517,3.78027887086947,4.50342184293875
5.95457102365313,4.21327355291719,4.79377675998537
5.84828322996179,4.39076209051615,4.83906864901559
5.93259504378128,4.35549948922021,4.79087455227765
5.86950487315548,4.49216300417796,4.79280407786477
5.96507045609477,4.45099050292822,4.76398818538889
6.21334703345142,4.48623778773181,4.90545844127535
6.45188727444115,4.51442018805962,5.04142634991119
6.68125289077742,4.53567818947651,5.1722061909518
6.87253605241381,4.5159578947296,5.26630553904219
6.97402946777781,4.47036164714843,5.26762984367573
6.97782580372303,4.54325819867444,5.17629856218632
6.98148655624163,4.62119979285985,5.08819648092526
7.04413097520547,4.63467566175799,5.05854386244008
7.19416252033023,4.55993924597366,5.12664789452831
7.18610454684139,4.66706085619437,5.05228149352558
7.21834540377102,4.73144327220403,4.99901247466116
7.19693442793422,4.86539410562598,4.94341079238931
