Deal,AQIIndex,ClosePrice,Europe_change,Global_GasPrice,Eco_rmb,JDWeather,cer_rmb_diff,TAN180_Change
17.39,75,1555,0.59,3900,14.7705,0,0.522193211,1.8178
18.9,70,1581,0.36,3900,14.9079,0,0.38961039,6.3304
17.01,54,1527,-0.27,3900,14.8608,0,-4.41461837,-2.365
15.31,57,1539.5,0.12,3900,14.6331,0,0.129701686,34.7429
14.52,62,1544,-0.2,3900,14.6331,0,-0.259067358,-1.1934
13.98,87,1426.5,-0.36,3900,14.2002,0,-4.596273292,9.9577
13.66,52,1430.5,-0.13,3900,13.6881,0,-0.130208333,3.8258
13.94,54,1391,-0.38,3900,13.1433,0,-0.391134289,-10.3999
14.07,39,1406.5,0.34,3900,13.1047,0,0.261780105,-12.3863
13.72,48,1414.5,-0.17,3900,13.3084,0,4.408972229,6.6306
13.5,52,1417.5,0.04,3900,13.4442,0,-4.347826087,15.9192
14.27,50,1421.5,-0.08,3900,13.3763,0,0,8.9657
13.39,59,1417,-0.5,3900,13.464,0,-0.522875817,7.2304
13.5,40,1453,0.07,3865,13.2405,0,0,-9.942
13.67,52,1436.5,-0.04,3900,12.988,0,0,3.3335
13.48,69,1517.5,0.07,3900,12.7652,0,-4.420021503,-13.8444
13.47,50,1512,-0.06,3900,12.8331,0,-0.131233596,-0.0316
12.84,57,1541,-0.41,3900,12.648,0,-0.394218134,-2.6082
12.63,68,1592.5,0.45,3900,12.58,0,0.395778364,17.9217
13.09,62,1588.5,-0.3,3900,12.7347,0,4.486577811,-5.2645
12.87,59,1605.5,0.03,3900,12.2078,0,-4.545454545,13.2564
12.76,57,1621.5,0.27,3900,12.1396,0,0.263504611,6.3127
14,44,1635.5,-0.1,3900,12.0714,0,0,9.0915
14.76,47,1634,0.42,3900,12.4806,0,0.394218134,21.4353
14.88,46,1679,-0.03,3900,12.3623,0,0,4.1459
15.69,50,1691.5,1.06,3900,12.3942,0,1.047120419,-6.6153
14.12,52,1751.5,0.2,3900,12.2899,0,0.129533679,8.9766
12.85,60,1752,0.21,3900,12.1183,0,0.258732212,0.0683
12.99,54,1796,-0.13,3900,12.0684,0,4.626728111,-2.0453
11.88,60,1761.5,-0.22,3900,12.0862,0,-4.792107118,-11.0935
11.88,55,1772.5,-0.09,3900,12.1541,0,0,17.3848
12.22,49,1783.5,-0.06,3900,12.104,1,-0.129533679,3.1239
12,45,1798.5,0.6,3900,11.6788,1,0.648508431,2.6857
12.38,44,1831,-0.09,3900,11.424,1,-0.128865979,2.1808
